GVKEY	datadate	fyearq	fqtr	fyr	tic	cusip	actq	chq	intanq	ltq	cogsy	add1	conml	naics
001690	20190930	2019	4	9	AAPL	037833100	162819.0000	48844.0000	0.0000	248028.0000	149235.0000	One Apple Park Way	Apple Inc	334220
001690	20191231	2020	1	9	AAPL	037833100	163231.0000	39771.0000	0.0000	251087.0000	53786.0000	One Apple Park Way	Apple Inc	334220
001690	20200331	2020	2	9	AAPL	037833100	143753.0000	40174.0000	0.0000	241975.0000	86943.0000	One Apple Park Way	Apple Inc	334220
001690	20200630	2020	3	9	AAPL	037833100	140065.0000	33383.0000	0.0000	245062.0000	121196.0000	One Apple Park Way	Apple Inc	334220
001690	20200930	2020	4	9	AAPL	037833100	143713.0000	38016.0000	0.0000	258549.0000	158503.0000	One Apple Park Way	Apple Inc	334220
001690	20201231	2021	1	9	AAPL	037833100	154106.0000	36010.0000	0.0000	287830.0000	64445.0000	One Apple Park Way	Apple Inc	334220
001690	20210331	2021	2	9	AAPL	037833100	121465.0000	38466.0000	0.0000	267980.0000	113153.0000	One Apple Park Way	Apple Inc	334220
001690	20210630	2021	3	9	AAPL	037833100	114423.0000	34050.0000	0.0000	265560.0000	156500.0000	One Apple Park Way	Apple Inc	334220
001690	20210930	2021	4	9	AAPL	037833100	134836.0000	34940.0000	0.0000	287912.0000	201697.0000	One Apple Park Way	Apple Inc	334220
001690	20211231	2022	1	9	AAPL	037833100	153154.0000	37119.0000	0.0000	309259.0000	67005.0000	One Apple Park Way	Apple Inc	334220
001690	20220331	2022	2	9	AAPL	037833100	118180.0000	28098.0000	0.0000	283263.0000	118987.0000	One Apple Park Way	Apple Inc	334220
001690	20220630	2022	3	9	AAPL	037833100	112292.0000	27502.0000	0.0000	278202.0000	163256.0000	One Apple Park Way	Apple Inc	334220
006066	20100331	2010	1	12	IBM	459200101	45697.0000	12472.0000	23507.0000	83059.0000	11522.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20100630	2010	2	12	IBM	459200101	44895.0000	10325.0000	23069.0000	82244.0000	23113.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20100930	2010	3	12	IBM	459200101	44469.0000	9859.0000	25749.0000	84815.0000	35047.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20101231	2010	4	12	IBM	459200101	48116.0000	10661.0000	28625.0000	90280.0000	48472.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20110331	2011	1	12	IBM	459200101	47524.0000	12763.0000	28731.0000	90184.0000	12378.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20110630	2011	2	12	IBM	459200101	46937.0000	11714.0000	28815.0000	90264.0000	25316.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20110930	2011	3	12	IBM	459200101	45373.0000	11303.0000	27945.0000	87780.0000	37963.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20111231	2011	4	12	IBM	459200101	50928.0000	11922.0000	29605.0000	96197.0000	51320.0000	One New Orchard Road	International Business Machines Corp	519130
006066	20120331	2012	1	12	IBM	459200101	48847.0000	11836.0000	31108.0000	94563.0000	12255.0000	One New Orchard Road	International Business Machines Corp	519130
